"Gene"	"Rationale"	"Types_of_recurrent_alterations"	"Examples.of.Therapeutic.Agents"	"PMID"
"ABL1"	"Translocations predict sensitivity to tyrosine kinase inhibitors such as imatinib, dasatinib, and nilotinib.  Secondary mutations can cause resistance to these agents."	"Rearrangement; Mutation"	"Imatinib, Dasatinib, Nilotinib, ABL1 inhibitors"	""
"AKT1"	"Mutations may predict sensitivity to AKT/MTOR inhibitors"	"Mutation"	"AKT/MTOR inhibitors"	""
"AKT2"	"Mutations may predict sensitivity to AKT/MTOR inhibitors"	"Mutation; Amplification"	"AKT/MTOR inhibitors"	""
"AKT3"	"Mutations may predict sensitivity to AKT/MTOR inhibitors"	"Rearrangement; Mutation"	"AKT/MTOR inhibitors"	""
"ALK"	"Translocations predict sensitivity to ALK-inhibitors such as crizotinib.  Secondary mutations can cause resistance.  Amplification and activating mutations may also be sensitive to these agents."	"Rearrangement; Mutation; Amplification"	"Crizotinib, ALK inhibitors"	""
"APC"	"Biallelic inactivation may predict sensitivity to inhibitors of WNT signaling or anti-TRAIL antibodies. May signal the presence of a germline mutation."	"Biallelic Inactivation"	"WNT inhibitors"	""
"AR"	"Amplification may predict resistance to androgen deprivation in prostate cancer and may predict sensitivity to second generation androgen deprivation or direct androgen inhibitors"	"Amplification"	"Androgen Deprivation
Enzalutamide"	""
"ARAF"	"Activating mutations may predict sensitivity to sorafenib or other RAF inhibitors"	"Mutation"	"Sorafenib, Vemurafenib, Dabrafenib, RAF inhibitors"	""
"ASXL1"	"Prognostic in myelodysplastic syndromes (MDS)"	"Mutations"	""	""
"ATM"	"Biallelic inactivation may predict sensitivity to PARP inhibitors"	"Biallelic Inactivation"	"PARP Inhibitors"	""
"ATR"	"Biallelic inactivation may predict sensitivity to PARP inhibitors"	"Biallelic Inactivation"	"PARP Inhibitors"	""
"AURKA"	"Amplifications are prognostic in colon cancer.  It is also the target of AURKA inhibitors"	"Amplification"	"AURKA Inhibitors"	""
"BAP1"	"Biallelic inactivation may predict sensitivity to HDAC inhibitors. May signal the presence of a germline mutation."	"Biallelic inactivation"	"HDAC Inhibitors"	""
"BCL2"	"Translocation is prognostic/diagnostic in some hematologic cancers and activating alterations may be sensitive to BCL2 inhibitors"	"Rearrangement"	"BCL2 inhibitors"	""
